targetid,survey,program,spectype,zwarn,zcat_primary,source_id,gaia_ra,gaia_dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,param,feh,alphafe,log10micro,teff,logg,tipo_fgk,parallax_snr
39633082159991004,main,bright,STAR,0,t,1389175840105794432,229.55761792126657,40.25924742922938,1.2653193658210795,0.055356,-9.564756409254498,-2.1872225962109457,17.042437,17.944538,16.11615,[8.8878e-02 1.0049e-01        nan 4.0693e+03 4.1388e+00],0.088878,0.10049,,4069.3,4.1388,K,22.857853996334264
39633349232297077,main,bright,STAR,0,t,1565727170956762880,203.4568591613173,56.99060815690607,1.0511874403966466,0.046082,0.5835525067636871,0.0754620924930805,16.813986,17.410784,16.083687,[-6.6311e-01  1.5591e-01  1.6388e-01  4.5981e+03  4.8288e+00],-0.66311,0.15591,0.16388,4598.1,4.8288,K,22.811237368097014
39633251840559010,main,bright,STAR,0,t,837932386986459904,169.69581949966152,50.164650657782445,1.204167509592995,0.053115,-9.92926970882138,-13.095840296229529,16.507816,17.18235,15.71079,[5.0059e-01 5.3544e-02        nan 4.4023e+03 4.6213e+00],0.50059,0.053544,,4402.3,4.6213,K,22.670950006457588
39633455226553422,main,bright,STAR,0,t,1101858539642113536,111.14403781968686,66.12598460687686,1.010292678597896,0.044659,-2.201435092464528,-19.324746486936885,16.479395,17.060514,15.769391,[-2.0714e-01  7.8717e-02         nan  4.9145e+03  4.9505e+00],-0.20714,0.078717,,4914.5,4.9505,K,22.622375749521847
39627624900724980,main,bright,STAR,0,t,3595409555474212352,177.61652434519797,-6.82079288402476,1.2543974128665405,0.055484,-25.014399768405028,2.362598492233125,16.567345,17.256582,15.767108,[-3.2079e-01  1.1642e-01         nan  4.4677e+03  4.7202e+00],-0.32079,0.11642,,4467.7,4.7202,K,22.608272887076282
39628511274601355,main,bright,STAR,0,t,711961442870892928,134.19863317841322,31.556383099324925,1.4369890016759108,0.063571,-12.355033760262373,-9.751156753142345,16.611864,17.400501,15.738929,[-3.3393e-01  1.2544e-01         nan  4.1403e+03  4.2550e+00],-0.33393,0.12544,,4140.3,4.255,K,22.60447376438802
39627701119617527,main,bright,STAR,0,t,3249689976913409920,55.69452450911498,-3.47142453820493,1.659140870961312,0.073436,-1.6651177367912395,11.631287481629816,17.124052,18.024067,16.202196,[-9.4339e-01  7.7403e-02  2.3300e-01  4.0502e+03  4.7632e+00],-0.94339,0.077403,0.233,4050.2,4.7632,K,22.593018015160304
39633358891780956,main,bright,STAR,0,t,1574833979093328000,186.86651098122195,57.86813136167384,1.1278475216101491,0.049939,-12.31663884928667,0.7065880149607319,16.828773,17.558643,16.01573,[-1.1364e-01  8.6527e-02         nan  4.3811e+03  4.5118e+00],-0.11364,0.086527,,4381.1,4.5118,K,22.58450352650532
39627908905435327,main,bright,STAR,0,t,3714114720593801984,206.57934355900943,4.888173749396233,1.8705316964621015,0.082863,-15.89771035726423,17.90257699384543,16.301199,17.10064,15.395997,[-4.2330e-01  2.8597e-01         nan  4.1893e+03  4.8100e+00],-0.4233,0.28597,,4189.3,4.81,K,22.573786810302565
39633109410382851,main,bright,STAR,0,t,1492014124725107968,216.14574971232136,41.83451991964751,1.1094694532935503,0.04926,6.558749767774843,-13.151151489756671,16.501062,17.101448,15.733258,[-6.2778e-01  1.6778e-01  2.8200e-01  4.6125e+03  4.7886e+00],-0.62778,0.16778,0.282,4612.5,4.7886,K,22.52272540181791
39627778139620891,main,bright,STAR,0,t,2680864744453384320,327.2905248512584,-0.5640379948192389,1.716833501986025,0.076485,-8.120018792559911,-27.41798931766956,16.74237,17.649231,15.806089,[-7.6993e-02 -2.0001e-01         nan  4.0815e+03  4.5314e+00],-0.076993,-0.20001,,4081.5,4.5314,K,22.44666930752468
39627933144319566,main,bright,STAR,0,t,3670106492814292096,216.74464794613556,6.035039822100793,1.2397486676211484,0.055306,4.582073641618551,-13.371290885026966,16.285765,16.903131,15.537063,[-1.3238e-01  1.6644e-02  5.2770e-02  4.6270e+03  4.7535e+00],-0.13238,0.016644,0.05277,4627.0,4.7535,K,22.41616945035165
39627773534277330,main,bright,STAR,0,t,3264133608332019712,52.93262493042193,-0.4059452603249211,1.398448739812836,0.062402,5.937344888777881,1.892658901242828,16.573872,17.325472,15.726155,[-2.3099e-01  1.0436e-01         nan  4.4658e+03  4.6391e+00],-0.23099,0.10436,,4465.8,4.6391,K,22.410319217538476
