wavelength,flux,ivar,model
3600.0,36.32402801513672,0.003070917446166277,15.128554344177246
3600.8,22.63946533203125,0.0024822319392114878,19.928537368774414
3601.6000000000004,32.729095458984375,0.00615472299978137,20.577653884887695
3602.4000000000005,14.905253410339355,0.007017063908278942,20.652103424072266
3603.2000000000007,25.380434036254883,0.004653116688132286,20.959686279296875
3604.000000000001,38.45558166503906,0.004280890803784132,21.172073364257812
3604.800000000001,13.002610206604004,0.005892538465559483,21.363296508789062
3605.6000000000013,22.137861251831055,0.005480253603309393,21.450885772705078
3606.4000000000015,20.323753356933594,0.005372478161007166,21.41138458251953
3607.2000000000016,15.21196174621582,0.0067078471183776855,21.264892578125
3608.000000000002,3.0550272464752197,0.0066213407553732395,21.045564651489258
3608.800000000002,33.11268997192383,0.006422904320061207,20.784170150756836
3609.600000000002,22.49858856201172,0.006608930416405201,20.515169143676758
3610.4000000000024,16.677316665649414,0.00193682755343616,20.256067276000977
3611.2000000000025,52.7427978515625,0.0019262281712144613,20.026081085205078
3612.0000000000027,22.564132690429688,0.004602809436619282,19.85719108581543
3612.800000000003,51.757598876953125,0.0008149559726007283,19.785314559936523
3613.600000000003,20.03634262084961,0.008149228990077972,19.83816146850586
3614.4000000000033,15.128260612487793,0.004725481383502483,20.007282257080078
3615.2000000000035,35.4241943359375,0.002188214100897312,20.26327133178711
3616.0000000000036,19.294342041015625,0.008226417936384678,20.54630470275879
3616.800000000004,15.015352249145508,0.005210547707974911,20.79388999938965
3617.600000000004,36.39912033081055,0.00696540204808116,20.954242706298828
3618.400000000004,21.067974090576172,0.00856874044984579,21.024805068969727
3619.2000000000044,10.51722240447998,0.004583373665809631,21.02916145324707
3620.0000000000045,29.851905822753906,0.012131551280617714,20.99598503112793
3620.8000000000047,11.784038543701172,0.010028538294136524,20.954238891601562
3621.600000000005,15.041380882263184,0.007551081478595734,20.924537658691406
3622.400000000005,1.2926537990570068,0.005926420446485281,20.9089298248291
3623.2000000000053,13.712392807006836,0.007021311670541763,20.9046688079834
3624.0000000000055,6.146012783050537,0.004457612056285143,20.92835235595703
3624.8000000000056,8.985106468200684,0.012028215453028679,21.000886917114258
3625.600000000006,27.47205924987793,0.0034995810128748417,21.12457847595215
3626.400000000006,5.555355072021484,0.00487140379846096,21.280792236328125
3627.200000000006,12.35173225402832,0.009760094806551933,21.436046600341797
3628.0000000000064,21.14750099182129,0.005943025927990675,21.53500747680664
3628.8000000000065,56.48849868774414,0.004277718253433704,21.552764892578125
3629.6000000000067,21.41753387451172,0.004675813484936953,21.509672164916992
3630.400000000007,17.369585037231445,0.008028332144021988,21.45166015625
3631.200000000007,33.064754486083984,0.0063300966285169125,21.408863067626953
3632.0000000000073,11.387772560119629,0.009054548107087612,21.387741088867188
3632.8000000000075,3.89127254486084,0.010174265131354332,21.377342224121094
3633.6000000000076,18.56413459777832,0.007730264216661453,21.352502822875977
3634.400000000008,31.738351821899414,0.011581605300307274,21.300188064575195
3635.200000000008,16.154905319213867,0.00942188035696745,21.232513427734375
3636.000000000008,34.38454818725586,0.005854560993611813,21.176387786865234
3636.8000000000084,27.84088897705078,0.012952359393239021,21.143905639648438
3637.6000000000085,20.06812286376953,0.007302908692508936,21.14102554321289
3638.4000000000087,18.775678634643555,0.009701450355350971,21.15172576904297
3639.200000000009,33.813629150390625,0.007735481485724449,21.134777069091797
3640.000000000009,29.363277435302734,0.010238234885036945,21.055002212524414
3640.8000000000093,13.017300605773926,0.006637557875365019,20.922523498535156
3641.6000000000095,26.045045852661133,0.010036234743893147,20.77525520324707
3642.4000000000096,30.76555633544922,0.008451887406408787,20.658187866210938
3643.20000000001,23.667415618896484,0.01141264010220766,20.60921859741211
3644.00000000001,18.843875885009766,0.011833040975034237,20.63733673095703
3644.80000000001,20.86001205444336,0.009827430360019207,20.7133731842041
3645.6000000000104,17.28087043762207,0.009297044016420841,20.787565231323242
3646.4000000000106,7.236623764038086,0.014623153023421764,20.830780029296875
3647.2000000000107,26.45144271850586,0.009988062083721161,20.836210250854492
3648.000000000011,21.573551177978516,0.01168135367333889,20.81060791015625
3648.800000000011,12.975934982299805,0.010156671516597271,20.77968406677246
3649.6000000000113,34.21568298339844,0.007336767390370369,20.772016525268555
3650.4000000000115,19.91263771057129,0.008728720247745514,20.779529571533203
3651.2000000000116,20.35439109802246,0.01782352663576603,20.758386611938477
3652.000000000012,14.555985450744629,0.011147682555019855,20.665285110473633
3652.800000000012,4.106772422790527,0.01395998802036047,20.473739624023438
3653.600000000012,25.344806671142578,0.008149797096848488,20.20282554626465
3654.4000000000124,7.734666347503662,0.017090091481804848,19.924779891967773
3655.2000000000126,30.79277992248535,0.007758114952594042,19.70598602294922
3656.0000000000127,25.60150146484375,0.011636493727564812,19.560121536254883
3656.800000000013,12.982417106628418,0.014417641796171665,19.460962295532227
3657.600000000013,18.599103927612305,0.014593943953514099,19.376489639282227
