targetid,survey,program,spectype,zwarn,zcat_primary,source_id,gaia_ra,gaia_dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,param,feh,alphafe,log10micro,teff,logg,tipo_espectral_aprox,parallax_snr
2305843022010526253,main,backup,STAR,0,t,1717618895538895360,189.1652597912207,79.02023397083666,28.67242332757454,0.015404,-188.88565485010815,-11.396586516686789,12.541218,13.669783,11.484763,[nan nan nan nan nan],,,,,,sin_teff,1861.3621999204454
2305843018831233826,main,backup,STAR,0,t,1290912417212643840,229.5710137055904,35.14910377818333,24.655044349435723,0.015417,17.600202686351686,-22.40736234007739,14.050978,15.635303,12.832117,[nan nan nan nan nan],,,,,,sin_teff,1599.2115424165352
2305843020781584860,main,backup,STAR,0,t,1552717577579331584,200.7513353861309,47.52682138330055,20.347834709869023,0.015148,-147.08295225489474,43.6905759521351,13.267232,14.633585,12.114861,[nan nan nan nan nan],,,,,,sin_teff,1343.2687291965292
2305843020475403122,main,backup,STAR,0,t,1511659923611999616,212.9828093193832,51.157946849246535,18.97932405967436,0.014522,-71.86561681707607,-6.67163072954946,13.764761,15.16544,12.602467,[nan nan nan nan nan],,,,,,sin_teff,1306.9359633435038
2305843020311832456,main,backup,STAR,0,t,1489921925896168704,219.6382963751506,41.55637610079576,26.516364794051853,0.021927,-468.3123086375422,-424.62602566836665,14.871672,16.61411,13.617539,[nan nan nan nan nan],,,,,,sin_teff,1209.301992705425
2305843014905367517,main,backup,STAR,0,t,764300842051905664,168.91766195410602,38.80847406601404,16.66366495745094,0.019274,3.421272275855779,-140.8794749869653,14.001019,15.507566,12.80897,[nan nan nan nan nan],,,,,,sin_teff,864.5670311015327
2305843018202094146,main,backup,STAR,0,t,1206489818488018432,241.3457447863524,22.54610158754544,12.302420629012143,0.015784,-120.6686089645924,56.880013018775216,13.954774,15.290646,12.813041,[nan nan nan nan nan],,,,,,sin_teff,779.4235066530755
39633113814404625,main,bright,STAR,0,t,1501969480959601792,207.8014700784076,42.10585930581003,20.328717038095068,0.02821,-41.04487061175836,61.69112329345214,15.412691,17.220203,14.138375,[nan nan nan nan nan],,,,,,sin_teff,720.6209513681343
2305843032118797826,main,backup,STAR,0,t,3074521969128511360,134.15573238688515,0.1650866147256454,27.36544290564021,0.039199,-204.59245212067736,227.6292871750659,15.371729,17.405787,14.051052,[nan nan nan nan nan],,,,,,sin_teff,698.1158423847602
2305843038276031549,main,backup,STAR,0,t,3901165013100805248,187.43681276186103,7.877447154874886,48.04364679563502,0.069559,-441.1195439196796,63.54745614909648,15.823703,18.598366,14.37326,[nan nan nan nan nan],,,,,,sin_teff,690.6891530303055
2376870385418240,main,bright,STAR,0,t,1262763648230973440,225.2839023288742,22.83363768365745,93.16551240283296,0.135528,-43.11951859553303,-65.13802373033424,16.509804,20.133026,14.949883,[nan nan nan nan nan],,,,,,sin_teff,687.4263060240906
2305843020307629264,main,backup,STAR,0,t,1489443565322051840,223.38321633770337,42.08348037559266,7.436802500849168,0.011052,-79.54355794453295,-10.963522877548929,12.403773,13.034679,11.631317,[nan nan nan nan nan],,,,,,sin_teff,672.8920105726718
2305843018713793058,main,backup,STAR,0,t,1275642090489407488,229.1592887020197,31.27065717793256,9.865337979418015,0.016069,16.24048789044014,-1.9526848529011955,14.28915,15.432983,13.227563,[nan nan nan nan nan],,,,,,sin_teff,613.936024607506
2305843023260432905,special,backup,STAR,0,t,1885871937258042112,347.22077098861274,31.10022176626609,8.217491713233864,0.014186,48.10542889291672,-0.5826819317152931,12.640011,13.373797,11.810264,[nan nan nan nan nan],,,,,,sin_teff,579.2677085319233
39633256718532943,main,bright,STAR,0,t,1368065732249321472,263.7643336101257,50.551474913656975,6.5381726129196345,0.012171,-15.486836528186938,-39.033861894892375,13.986473,14.930345,13.020782,[nan nan nan nan nan],,,,,,sin_teff,537.1927214624628
2305843019980475000,main,backup,STAR,0,t,1445367240836609920,205.9943505370429,26.41524804939712,7.795715353481248,0.014692,-83.72151196375113,57.74667790724512,13.026695,13.745375,12.204867,[nan nan nan nan nan],,,,,,sin_teff,530.6095394419581
2305843020190190721,main,backup,STAR,0,t,1473488762546516480,201.9169718602949,35.83477434983986,6.767388640358367,0.013833,-99.69443957710725,-14.862952583121109,12.725756,13.420433,11.926509,[nan nan nan nan nan],,,,,,sin_teff,489.22060582363673
2305843039249106580,main,backup,STAR,0,t,4031817712086523776,178.53192739199716,36.62032567674382,9.320082965518097,0.019543,-38.45166222004929,-30.93550123156004,14.24563,15.420095,13.17005,[nan nan nan nan nan],,,,,,sin_teff,476.90134398598457
2305843020378940604,main,backup,STAR,0,t,1498989495211167488,208.68778744575957,42.38158917132964,6.419749101307307,0.013486,-35.483703843349375,-38.39685729769826,12.672402,13.253652,11.954263,[nan nan nan nan nan],,,,,,sin_teff,476.03063186321424
2305843021972778656,main,backup,STAR,0,t,1713021459465748992,199.48556843739576,76.41611105308976,5.122136849210885,0.011061,22.106471338242773,-18.93339343972168,11.813453,12.147786,11.318862,[nan nan nan nan nan],,,,,,sin_teff,463.0808108860759
39627630906969411,main,bright,STAR,0,t,3598424931753893888,177.63756681180746,-6.605364951140685,24.0988709432107,0.052869,-306.7252878810571,-77.61728414788534,16.427322,16.529337,16.249287,[nan nan nan nan nan],,,,,,sin_teff,455.822333375148
2305843020571870861,main,backup,STAR,0,t,1524976727412387328,199.4852286161176,41.05599422693299,11.531337300012575,0.025917,39.5279786972918,-51.20974837320682,15.138171,16.570488,13.965171,[nan nan nan nan nan],,,,,,sin_teff,444.93333719228986
2305843042310961107,main,backup,STAR,0,t,4442443867218025984,254.259366521471,8.530341171199591,6.51028216109171,0.014651,-26.340517557448425,-7.413551256552268,12.846354,13.539261,12.047148,[nan nan nan nan nan],,,,,,sin_teff,444.35752925340995
2305843042097051172,main,backup,STAR,0,t,4413805025287256576,231.23334041400216,-3.1689496453019466,7.315107518955815,0.016582,-50.01527958018461,-2.886625652344809,13.694445,14.84395,12.635715,[nan nan nan nan nan],,,,,,sin_teff,441.1474803374632
2305843018634100795,main,backup,STAR,0,t,1264602615788016512,226.6185073096631,24.46792485972056,7.6342552565645665,0.018391,-10.258019877463122,9.771418979211216,14.014589,15.092208,12.983055,[nan nan nan nan nan],,,,,,sin_teff,415.10821905087084
39627737639421407,sv1,bright,STAR,0,t,3226283642101721600,73.29929418619197,-1.967944627310404,12.221445113615266,0.029805,39.40048476627712,68.92437051577144,15.041983,16.39634,13.895542,[nan nan nan nan nan],,,,,,sin_teff,410.0468080394318
2305843022010518632,main,backup,STAR,0,t,1717863330717444992,184.1425770860814,79.42195468190651,4.590817059283017,0.011332,-11.0243056651249,-6.521111087160119,13.525531,14.137301,12.781895,[nan nan nan nan nan],,,,,,sin_teff,405.11975461375016
2305843017946246408,main,backup,STAR,0,t,1172561638432807424,217.66015445772,7.691300312753986,7.556098425920718,0.018847,-80.7810192373829,-34.45540097659926,13.712551,14.777824,12.68412,[nan nan nan nan nan],,,,,,sin_teff,400.91783445220557
2305843014645322494,main,backup,STAR,0,t,729433850866311040,156.80934693418214,29.02558581314937,5.930333546812709,0.014895,-33.28582444440832,-52.33280664138404,12.790591,13.390101,12.057231,[nan nan nan nan nan],,,,,,sin_teff,398.14256776184686
2305843042306787456,main,backup,STAR,0,t,4441890056954792832,252.1101627787285,7.05311515722863,8.795821892351338,0.022279,-16.79640388444772,-37.62384295963629,14.616826,15.873312,13.509604,[nan nan nan nan nan],,,,,,sin_teff,394.8032628193069
2305843028314558432,main,backup,STAR,0,t,2564011917123938176,17.770668465029033,4.773353318910685,6.6190523461846125,0.017203,19.755527865653004,-69.82947611734517,12.034615,12.569452,11.353411,[nan nan nan nan nan],,,,,,sin_teff,384.7615152115685
39633021250310773,main,bright,STAR,0,t,4606613254032466304,271.4802362149595,36.94890473887836,13.13905225453886,0.034752,16.8348340589448,139.58595600902188,16.141912,17.986355,14.858904,[nan nan nan nan nan],,,,,,sin_teff,378.08046312554274
2305843017027692505,main,backup,STAR,0,t,1049315249771837568,160.26333758424886,63.0730544090404,4.083709099343188,0.010887,-19.497407861846398,-19.16637159304819,13.049541,13.531106,12.408004,[nan nan nan nan nan],,,,,,sin_teff,375.0995774173957
2305843042961187118,main,backup,STAR,0,t,4529901255485088896,273.3147425294876,22.26364732586344,7.462036266823942,0.020432,14.029834910800083,26.61323118459405,14.834195,16.033613,13.746526,[nan nan nan nan nan],,,,,,sin_teff,365.2132080473738
2305843018776709887,main,backup,STAR,0,t,1284052942123131648,216.14126705285037,29.58646448759664,5.298034008578548,0.014625,-32.05450876729693,11.273825176621084,13.749784,14.523993,12.894863,[nan nan nan nan nan],,,,,,sin_teff,362.2587356293024
2305843047176345086,main,backup,STAR,0,t,5095612460550268160,58.05943938650118,-18.471537893494112,5.005445623708344,0.014122,-51.54141030758345,-57.011216798969016,13.038866,13.562748,12.35935,[nan nan nan nan nan],,,,,,sin_teff,354.44311171989403
2305843018894178050,main,backup,STAR,0,t,1299849556961689856,250.30573345578097,24.50273981353949,4.435240229237973,0.012523,40.06228623126387,-16.83485651888047,11.943919,12.316934,11.404257,[nan nan nan nan nan],,,,,,sin_teff,354.1675500469515
2305843027958045200,main,backup,STAR,0,t,2516123547169548544,37.060251688885714,4.384973740124107,8.658711652891652,0.02468,118.4094471702742,-78.30821821381628,14.229931,15.474537,13.103691,[nan nan nan nan nan],,,,,,sin_teff,350.83920797778165
2305843036355049788,main,backup,STAR,0,t,3642940790307257728,216.05058079408985,-4.169390827274761,9.521843513258782,0.02744,-60.920203744724446,24.356960803482764,14.240202,15.558773,13.110445,[nan nan nan nan nan],,,,,,sin_teff,347.00595893800227
2305843013361892536,main,backup,STAR,0,t,557303239658251520,86.01627054687613,82.19682410435802,4.176436353444732,0.012168,27.71852033493809,43.399298754234174,12.308434,12.712039,11.73858,[nan nan nan nan nan],,,,,,sin_teff,343.2311270089359
2305843036417957549,main,backup,STAR,0,t,3651462379083929856,221.50173164722185,-0.1828712465372852,5.063202918973979,0.014789,-23.515721755656397,-12.64632766939576,13.028555,13.605779,12.31109,[nan nan nan nan nan],,,,,,sin_teff,342.3627641472702
