wavelength,flux,ivar,model,targetid,clase_aprox,teff,logg,feh
4000.000000000091,0.9104263186454773,0.6251139640808105,1.582128882408142,39632941214599437,G,5402.2,2.0221,-2.0798
4000.800000000091,2.7782845497131348,0.6402806639671326,1.5487210750579834,39632941214599437,G,5402.2,2.0221,-2.0798
4001.6000000000913,1.2138328552246094,0.7127257585525513,1.4496521949768066,39632941214599437,G,5402.2,2.0221,-2.0798
4002.4000000000915,0.03274373710155487,0.6601642966270447,1.3765556812286377,39632941214599437,G,5402.2,2.0221,-2.0798
4003.2000000000917,1.5442829132080078,0.6718831062316895,1.4186252355575562,39632941214599437,G,5402.2,2.0221,-2.0798
4004.000000000092,0.9296483993530273,0.6774553656578064,1.4995594024658203,39632941214599437,G,5402.2,2.0221,-2.0798
4004.800000000092,1.4976078271865845,0.6447573304176331,1.5771872997283936,39632941214599437,G,5402.2,2.0221,-2.0798
4005.600000000092,1.4841365814208984,0.6563809514045715,1.5760464668273926,39632941214599437,G,5402.2,2.0221,-2.0798
4006.4000000000924,0.9164239168167114,0.6632094979286194,1.5441808700561523,39632941214599437,G,5402.2,2.0221,-2.0798
4007.2000000000926,0.6446434855461121,0.6191821694374084,1.5564439296722412,39632941214599437,G,5402.2,2.0221,-2.0798
4008.0000000000928,-0.09694284945726395,0.6717504262924194,1.5482593774795532,39632941214599437,G,5402.2,2.0221,-2.0798
4008.800000000093,1.8791258335113525,0.6251122355461121,1.5175608396530151,39632941214599437,G,5402.2,2.0221,-2.0798
4009.600000000093,3.544574737548828,0.6544051766395569,1.523794174194336,39632941214599437,G,5402.2,2.0221,-2.0798
4010.4000000000933,0.9157649874687195,0.6766074895858765,1.5234142541885376,39632941214599437,G,5402.2,2.0221,-2.0798
4011.2000000000935,0.9945288896560669,0.6246224045753479,1.5188140869140625,39632941214599437,G,5402.2,2.0221,-2.0798
4012.0000000000937,1.565391182899475,0.6661863327026367,1.5509958267211914,39632941214599437,G,5402.2,2.0221,-2.0798
