wavelength,flux,ivar,mask,redshift
3600.0,34.05080032348633,0.03132978826761246,0,-2.628611585589587e-05
3600.8,38.895599365234375,0.021759722381830215,0,-2.628611585589587e-05
3601.6000000000004,36.81897735595703,0.02056266739964485,0,-2.628611585589587e-05
3602.4000000000005,31.297883987426758,0.02030458301305771,0,-2.628611585589587e-05
3603.2000000000007,28.824493408203125,0.021292002871632576,0,-2.628611585589587e-05
3604.000000000001,45.05063247680664,0.01712673157453537,0,-2.628611585589587e-05
3604.800000000001,18.852632522583008,0.030729226768016815,0,-2.628611585589587e-05
3605.6000000000013,29.167774200439453,0.024439580738544464,0,-2.628611585589587e-05
3606.4000000000015,27.31829261779785,0.026285653933882713,0,-2.628611585589587e-05
3607.2000000000016,23.409992218017578,0.024346645921468735,0,-2.628611585589587e-05
3608.000000000002,37.67194366455078,0.02632148750126362,0,-2.628611585589587e-05
3608.800000000002,22.427366256713867,0.035450760275125504,0,-2.628611585589587e-05
3609.600000000002,22.812847137451172,0.027333775535225868,0,-2.628611585589587e-05
3610.4000000000024,24.192949295043945,0.02927444316446781,0,-2.628611585589587e-05
3611.2000000000025,25.866477966308594,0.0296268779784441,0,-2.628611585589587e-05
3612.0000000000027,19.13619041442871,0.030691538006067276,0,-2.628611585589587e-05
3612.800000000003,23.66965103149414,0.03511570394039154,0,-2.628611585589587e-05
3613.600000000003,31.456071853637695,0.018876047804951668,0,-2.628611585589587e-05
3614.4000000000033,33.32037353515625,0.018674908205866814,0,-2.628611585589587e-05
3615.2000000000035,26.1718807220459,0.030445482581853867,0,-2.628611585589587e-05
3616.0000000000036,39.55881118774414,0.02349919080734253,0,-2.628611585589587e-05
3616.800000000004,34.433345794677734,0.021900681778788567,0,-2.628611585589587e-05
3617.600000000004,31.891550064086914,0.019830863922834396,0,-2.628611585589587e-05
3618.400000000004,23.618579864501953,0.028113465756177902,0,-2.628611585589587e-05
3619.2000000000044,11.771162986755371,0.02668951451778412,0,-2.628611585589587e-05
3620.0000000000045,9.93315601348877,0.031715042889118195,0,-2.628611585589587e-05
3620.8000000000047,22.241708755493164,0.03069320134818554,0,-2.628611585589587e-05
3621.600000000005,21.146343231201172,0.0286580640822649,0,-2.628611585589587e-05
3622.400000000005,27.2021427154541,0.02619471214711666,0,-2.628611585589587e-05
3623.2000000000053,35.27776336669922,0.02670951373875141,0,-2.628611585589587e-05
3624.0000000000055,37.08401870727539,0.021199990063905716,0,-2.628611585589587e-05
3624.8000000000056,29.957901000976562,0.018418001011013985,0,-2.628611585589587e-05
3625.600000000006,34.58296585083008,0.0276214350014925,0,-2.628611585589587e-05
3626.400000000006,45.78832244873047,0.02098638378083706,0,-2.628611585589587e-05
3627.200000000006,40.57554626464844,0.0219698678702116,0,-2.628611585589587e-05
3628.0000000000064,39.08402633666992,0.018940458074212074,0,-2.628611585589587e-05
3628.8000000000065,48.3720703125,0.022574532777071,0,-2.628611585589587e-05
3629.6000000000067,42.1285400390625,0.025320561602711678,0,-2.628611585589587e-05
3630.400000000007,38.944793701171875,0.019743744283914566,0,-2.628611585589587e-05
3631.200000000007,27.411954879760742,0.024557601660490036,0,-2.628611585589587e-05
3632.0000000000073,20.41008186340332,0.032540977001190186,0,-2.628611585589587e-05
3632.8000000000075,16.81272315979004,0.03783208131790161,0,-2.628611585589587e-05
3633.6000000000076,22.867650985717773,0.03306201472878456,0,-2.628611585589587e-05
3634.400000000008,31.690837860107422,0.02604120410978794,0,-2.628611585589587e-05
3635.200000000008,27.82847785949707,0.019669184461236,0,-2.628611585589587e-05
3636.000000000008,19.214275360107422,0.02623034454882145,0,-2.628611585589587e-05
3636.8000000000084,20.069690704345703,0.02931870147585869,0,-2.628611585589587e-05
3637.6000000000085,31.871784210205078,0.020533110946416855,0,-2.628611585589587e-05
3638.4000000000087,33.4761962890625,0.02973136492073536,0,-2.628611585589587e-05
3639.200000000009,37.809688568115234,0.03225652128458023,0,-2.628611585589587e-05
3640.000000000009,46.81549835205078,0.026303967460989952,0,-2.628611585589587e-05
3640.8000000000093,38.20428466796875,0.029429549351334572,0,-2.628611585589587e-05
3641.6000000000095,30.99862289428711,0.027273178100585938,0,-2.628611585589587e-05
3642.4000000000096,28.531579971313477,0.021937252953648567,0,-2.628611585589587e-05
3643.20000000001,42.94374465942383,0.021047940477728844,0,-2.628611585589587e-05
3644.00000000001,21.656883239746094,0.02317970246076584,0,-2.628611585589587e-05
3644.80000000001,29.377927780151367,0.024558192119002342,0,-2.628611585589587e-05
3645.6000000000104,27.513565063476562,0.026846839115023613,0,-2.628611585589587e-05
3646.4000000000106,26.245967864990234,0.025616036728024483,0,-2.628611585589587e-05
3647.2000000000107,31.978656768798828,0.031250014901161194,0,-2.628611585589587e-05
3648.000000000011,32.44026565551758,0.033567022532224655,0,-2.628611585589587e-05
3648.800000000011,20.19143295288086,0.033817414194345474,0,-2.628611585589587e-05
3649.6000000000113,27.39410400390625,0.03594791889190674,0,-2.628611585589587e-05
3650.4000000000115,34.63587951660156,0.029264353215694427,0,-2.628611585589587e-05
3651.2000000000116,41.430240631103516,0.028039565309882164,0,-2.628611585589587e-05
3652.000000000012,16.80733871459961,0.03167610988020897,0,-2.628611585589587e-05
3652.800000000012,36.33047103881836,0.02955853007733822,0,-2.628611585589587e-05
3653.600000000012,35.18113327026367,0.02989576756954193,0,-2.628611585589587e-05
3654.4000000000124,40.70309829711914,0.023899737745523453,0,-2.628611585589587e-05
3655.2000000000126,25.97437858581543,0.028988225385546684,0,-2.628611585589587e-05
3656.0000000000127,29.563220977783203,0.031851042062044144,0,-2.628611585589587e-05
3656.800000000013,37.78049087524414,0.026526810601353645,0,-2.628611585589587e-05
3657.600000000013,38.917724609375,0.02571859024465084,0,-2.628611585589587e-05
3658.4000000000133,42.208560943603516,0.025587433949112892,0,-2.628611585589587e-05
3659.2000000000135,45.20391845703125,0.02566707506775856,0,-2.628611585589587e-05
3660.0000000000136,48.99258804321289,0.022282356396317482,0,-2.628611585589587e-05
3660.800000000014,51.33929443359375,0.02770593762397766,0,-2.628611585589587e-05
3661.600000000014,33.46684646606445,0.037265073508024216,0,-2.628611585589587e-05
3662.400000000014,42.70720672607422,0.023334495723247528,0,-2.628611585589587e-05
3663.2000000000144,35.696739196777344,0.02559707500040531,0,-2.628611585589587e-05
3664.0000000000146,34.530792236328125,0.027932310476899147,0,-2.628611585589587e-05
3664.8000000000147,31.222824096679688,0.039200250059366226,0,-2.628611585589587e-05
3665.600000000015,36.57966232299805,0.0331495963037014,0,-2.628611585589587e-05
3666.400000000015,38.656063079833984,0.03884374350309372,0,-2.628611585589587e-05
3667.2000000000153,40.3824577331543,0.030879858881235123,0,-2.628611585589587e-05
3668.0000000000155,40.78154373168945,0.03257506340742111,0,-2.628611585589587e-05
3668.8000000000156,30.628564834594727,0.03990669548511505,0,-2.628611585589587e-05
3669.600000000016,30.521488189697266,0.03565759211778641,0,-2.628611585589587e-05
3670.400000000016,24.09872817993164,0.03508580103516579,0,-2.628611585589587e-05
3671.200000000016,19.331777572631836,0.036786891520023346,0,-2.628611585589587e-05
3672.0000000000164,33.47543716430664,0.03483661264181137,0,-2.628611585589587e-05
3672.8000000000166,44.858158111572266,0.04214068874716759,0,-2.628611585589587e-05
3673.6000000000167,35.624412536621094,0.03673863038420677,0,-2.628611585589587e-05
3674.400000000017,28.983488082885742,0.03525276482105255,0,-2.628611585589587e-05
3675.200000000017,36.667972564697266,0.03974626213312149,0,-2.628611585589587e-05
3676.0000000000173,43.74116897583008,0.030733438208699226,0,-2.628611585589587e-05
3676.8000000000175,36.80410385131836,0.046052686870098114,0,-2.628611585589587e-05
3677.6000000000176,46.34852600097656,0.027321476489305496,0,-2.628611585589587e-05
3678.400000000018,20.08806037902832,0.04107951745390892,0,-2.628611585589587e-05
3679.200000000018,21.348608016967773,0.04616561904549599,0,-2.628611585589587e-05
3680.000000000018,29.1318302154541,0.03709752857685089,0,-2.628611585589587e-05
3680.8000000000184,24.563947677612305,0.03571037948131561,0,-2.628611585589587e-05
3681.6000000000186,36.13925552368164,0.033261530101299286,0,-2.628611585589587e-05
3682.4000000000187,32.59090805053711,0.04295572265982628,0,-2.628611585589587e-05
3683.200000000019,25.85353660583496,0.039673589169979095,0,-2.628611585589587e-05
3684.000000000019,31.804719924926758,0.04271876811981201,0,-2.628611585589587e-05
3684.8000000000193,27.74319076538086,0.04318661987781525,0,-2.628611585589587e-05
3685.6000000000195,25.199098587036133,0.049341343343257904,0,-2.628611585589587e-05
3686.4000000000196,33.623477935791016,0.03857377916574478,0,-2.628611585589587e-05
3687.20000000002,30.272016525268555,0.03291037678718567,0,-2.628611585589587e-05
3688.00000000002,29.345916748046875,0.034673552960157394,0,-2.628611585589587e-05
3688.80000000002,31.07343101501465,0.03926253691315651,0,-2.628611585589587e-05
