wavelength,flux,ivar,model,targetid,clase_aprox,teff,logg,feh
4000.000000000091,1.9719114303588867,1.256086826324463,2.8164467811584473,39627648753733863,F,7193.4,4.739,-1.6785
4000.800000000091,2.4306414127349854,1.3103554248809814,2.81241512298584,39627648753733863,F,7193.4,4.739,-1.6785
4001.6000000000913,1.8895081281661987,1.464194416999817,2.804201602935791,39627648753733863,F,7193.4,4.739,-1.6785
4002.4000000000915,3.284672498703003,1.3197810649871826,2.770085573196411,39627648753733863,F,7193.4,4.739,-1.6785
4003.2000000000917,1.4091781377792358,1.3235281705856323,2.7749528884887695,39627648753733863,F,7193.4,4.739,-1.6785
4004.000000000092,2.1533002853393555,1.326585054397583,2.813749313354492,39627648753733863,F,7193.4,4.739,-1.6785
4004.800000000092,2.7085864543914795,1.4975616931915283,2.848271131515503,39627648753733863,F,7193.4,4.739,-1.6785
4005.600000000092,4.400104999542236,1.3591612577438354,2.8531267642974854,39627648753733863,F,7193.4,4.739,-1.6785
4006.4000000000924,3.7304768562316895,1.3916897773742676,2.8448874950408936,39627648753733863,F,7193.4,4.739,-1.6785
4007.2000000000926,2.506605863571167,1.4354727268218994,2.8421123027801514,39627648753733863,F,7193.4,4.739,-1.6785
4008.0000000000928,4.201821327209473,1.2272323369979858,2.856663942337036,39627648753733863,F,7193.4,4.739,-1.6785
4008.800000000093,2.110640048980713,1.2607439756393433,2.850271701812744,39627648753733863,F,7193.4,4.739,-1.6785
4009.600000000093,3.16278338432312,1.303893804550171,2.803225517272949,39627648753733863,F,7193.4,4.739,-1.6785
4010.4000000000933,3.3696794509887695,1.2418909072875977,2.7590086460113525,39627648753733863,F,7193.4,4.739,-1.6785
4011.2000000000935,3.950237274169922,1.1565638780593872,2.8002376556396484,39627648753733863,F,7193.4,4.739,-1.6785
4012.0000000000937,2.360785484313965,1.2925007343292236,2.846555233001709,39627648753733863,F,7193.4,4.739,-1.6785
4012.800000000094,3.4605026245117188,1.3234851360321045,2.8744194507598877,39627648753733863,F,7193.4,4.739,-1.6785
4013.600000000094,3.826206684112549,1.27836012840271,2.8716888427734375,39627648753733863,F,7193.4,4.739,-1.6785
4014.400000000094,3.2873456478118896,1.1916049718856812,2.8528401851654053,39627648753733863,F,7193.4,4.739,-1.6785
4015.2000000000944,2.595966100692749,1.2725248336791992,2.867370128631592,39627648753733863,F,7193.4,4.739,-1.6785
4016.0000000000946,3.304107427597046,1.3196074962615967,2.8631651401519775,39627648753733863,F,7193.4,4.739,-1.6785
4016.8000000000948,2.125159978866577,1.4220099449157715,2.82306170463562,39627648753733863,F,7193.4,4.739,-1.6785
4017.600000000095,1.890547275543213,1.4270364046096802,2.806809425354004,39627648753733863,F,7193.4,4.739,-1.6785
