wavelength,flux,ivar,model,targetid,clase_aprox,teff,logg,feh
4000.000000000091,5419.14794921875,0.0002380535879638046,5069.482421875,2305843051970455974,F,6560.6,4.448,-0.34067
4000.800000000091,5612.68994140625,0.00028501887572929263,5374.79736328125,2305843051970455974,F,6560.6,4.448,-0.34067
4001.6000000000913,5256.6484375,0.0003646779805421829,5341.240234375,2305843051970455974,F,6560.6,4.448,-0.34067
4002.4000000000915,5040.6142578125,0.00038213602965697646,5276.15380859375,2305843051970455974,F,6560.6,4.448,-0.34067
4003.2000000000917,5257.26953125,0.0003342470736242831,5314.23046875,2305843051970455974,F,6560.6,4.448,-0.34067
4004.000000000092,5682.47998046875,0.0002892029006034136,5349.26806640625,2305843051970455974,F,6560.6,4.448,-0.34067
4004.800000000092,5089.80517578125,0.00040500523755326867,5324.2724609375,2305843051970455974,F,6560.6,4.448,-0.34067
4005.600000000092,4761.0625,0.000360166362952441,5002.8486328125,2305843051970455974,F,6560.6,4.448,-0.34067
4006.4000000000924,4804.34619140625,0.00033634237479418516,4605.23291015625,2305843051970455974,F,6560.6,4.448,-0.34067
4007.2000000000926,4841.06298828125,0.0003052260144613683,4840.1748046875,2305843051970455974,F,6560.6,4.448,-0.34067
4008.0000000000928,5398.546875,0.0002652579569257796,5187.35498046875,2305843051970455974,F,6560.6,4.448,-0.34067
4008.800000000093,5628.06591796875,0.00025227657170034945,5486.3564453125,2305843051970455974,F,6560.6,4.448,-0.34067
4009.600000000093,5861.46826171875,0.0002747899852693081,5507.212890625,2305843051970455974,F,6560.6,4.448,-0.34067
4010.4000000000933,5648.4091796875,0.00019626189896371216,5398.05419921875,2305843051970455974,F,6560.6,4.448,-0.34067
4011.2000000000935,5611.46630859375,0.0002758342307060957,5447.9560546875,2305843051970455974,F,6560.6,4.448,-0.34067
4012.0000000000937,5607.66357421875,0.0002944163861684501,5442.9013671875,2305843051970455974,F,6560.6,4.448,-0.34067
4012.800000000094,5377.462890625,0.0003562844358384609,5218.10791015625,2305843051970455974,F,6560.6,4.448,-0.34067
4013.600000000094,5159.3408203125,0.00037047392106615007,5165.05859375,2305843051970455974,F,6560.6,4.448,-0.34067
4014.400000000094,5329.2958984375,0.0003535793803166598,5287.52490234375,2305843051970455974,F,6560.6,4.448,-0.34067
4015.2000000000944,5365.95703125,0.0003399507550057024,5293.11328125,2305843051970455974,F,6560.6,4.448,-0.34067
4016.0000000000946,5289.4697265625,0.00033888695179484785,5390.00439453125,2305843051970455974,F,6560.6,4.448,-0.34067
4016.8000000000948,5564.716796875,0.000324754451867193,5455.27880859375,2305843051970455974,F,6560.6,4.448,-0.34067
4017.600000000095,5371.15625,0.0003274070913903415,5311.435546875,2305843051970455974,F,6560.6,4.448,-0.34067
4018.400000000095,5069.5029296875,0.00035240213037468493,5130.84912109375,2305843051970455974,F,6560.6,4.448,-0.34067
4019.2000000000953,5302.3876953125,0.00029528705636039376,5193.20263671875,2305843051970455974,F,6560.6,4.448,-0.34067
