wavelength,flux,ivar,model,targetid,clase_aprox,teff,logg,feh
4000.000000000091,17.564176559448242,0.024501070380210876,29.700687408447266,2305843020529933032,B,10159.0,8.9862,-10.0
4000.800000000091,27.209794998168945,0.03722724691033363,29.48922348022461,2305843020529933032,B,10159.0,8.9862,-10.0
4001.6000000000913,36.03529739379883,0.034675728529691696,29.57211685180664,2305843020529933032,B,10159.0,8.9862,-10.0
4002.4000000000915,32.406951904296875,0.03584006428718567,29.848106384277344,2305843020529933032,B,10159.0,8.9862,-10.0
4003.2000000000917,15.641995429992676,0.03309198096394539,29.98126983642578,2305843020529933032,B,10159.0,8.9862,-10.0
4004.000000000092,21.576051712036133,0.03885658085346222,29.69521141052246,2305843020529933032,B,10159.0,8.9862,-10.0
4004.800000000092,29.04914093017578,0.027552388608455658,29.749303817749023,2305843020529933032,B,10159.0,8.9862,-10.0
4005.600000000092,24.461978912353516,0.02346373163163662,30.089458465576172,2305843020529933032,B,10159.0,8.9862,-10.0
4006.4000000000924,22.834693908691406,0.042550183832645416,30.289127349853516,2305843020529933032,B,10159.0,8.9862,-10.0
4007.2000000000926,24.822593688964844,0.018050381913781166,30.204769134521484,2305843020529933032,B,10159.0,8.9862,-10.0
4008.0000000000928,29.193283081054688,0.018670370802283287,29.6906795501709,2305843020529933032,B,10159.0,8.9862,-10.0
4008.800000000093,23.170780181884766,0.028912734240293503,29.174175262451172,2305843020529933032,B,10159.0,8.9862,-10.0
4009.600000000093,31.153776168823242,0.034560710191726685,29.492843627929688,2305843020529933032,B,10159.0,8.9862,-10.0
4010.4000000000933,23.172672271728516,0.03175225481390953,29.74285316467285,2305843020529933032,B,10159.0,8.9862,-10.0
4011.2000000000935,25.990764617919922,0.029470078647136688,30.168161392211914,2305843020529933032,B,10159.0,8.9862,-10.0
4012.0000000000937,32.7545280456543,0.03485702723264694,30.243980407714844,2305843020529933032,B,10159.0,8.9862,-10.0
4012.800000000094,38.238948822021484,0.03551314398646355,30.142658233642578,2305843020529933032,B,10159.0,8.9862,-10.0
4013.600000000094,22.53485107421875,0.03826341778039932,30.293325424194336,2305843020529933032,B,10159.0,8.9862,-10.0
4014.400000000094,24.27431869506836,0.0374571792781353,30.20591163635254,2305843020529933032,B,10159.0,8.9862,-10.0
4015.2000000000944,30.628969192504883,0.03762122616171837,29.776212692260742,2305843020529933032,B,10159.0,8.9862,-10.0
4016.0000000000946,20.400968551635742,0.03145311772823334,29.777700424194336,2305843020529933032,B,10159.0,8.9862,-10.0
4016.8000000000948,23.543737411499023,0.03446495160460472,30.070404052734375,2305843020529933032,B,10159.0,8.9862,-10.0
4017.600000000095,22.63144874572754,0.026269230991601944,30.093347549438477,2305843020529933032,B,10159.0,8.9862,-10.0
4018.400000000095,20.67647361755371,0.041270315647125244,30.322547912597656,2305843020529933032,B,10159.0,8.9862,-10.0
4019.2000000000953,26.439952850341797,0.02067561261355877,30.373254776000977,2305843020529933032,B,10159.0,8.9862,-10.0
4020.0000000000955,26.392187118530273,0.023257963359355927,30.134206771850586,2305843020529933032,B,10159.0,8.9862,-10.0
4020.8000000000957,28.01943588256836,0.02274566888809204,30.12428855895996,2305843020529933032,B,10159.0,8.9862,-10.0
4021.600000000096,33.28388977050781,0.03524642065167427,30.221969604492188,2305843020529933032,B,10159.0,8.9862,-10.0
4022.400000000096,23.842174530029297,0.03937515243887901,30.286869049072266,2305843020529933032,B,10159.0,8.9862,-10.0
4023.200000000096,19.860855102539062,0.03612077981233597,30.12358856201172,2305843020529933032,B,10159.0,8.9862,-10.0
4024.0000000000964,23.678300857543945,0.041012510657310486,30.161890029907227,2305843020529933032,B,10159.0,8.9862,-10.0
4024.8000000000966,33.31434631347656,0.02462936006486416,30.13896369934082,2305843020529933032,B,10159.0,8.9862,-10.0
4025.6000000000968,40.47385025024414,0.04331080615520477,30.29871368408203,2305843020529933032,B,10159.0,8.9862,-10.0
4026.400000000097,28.0029239654541,0.024361221119761467,30.366310119628906,2305843020529933032,B,10159.0,8.9862,-10.0
4027.200000000097,25.235214233398438,0.04046700894832611,30.17985725402832,2305843020529933032,B,10159.0,8.9862,-10.0
4028.0000000000973,21.927745819091797,0.037462085485458374,29.807355880737305,2305843020529933032,B,10159.0,8.9862,-10.0
4028.8000000000975,27.888702392578125,0.03897837921977043,30.070117950439453,2305843020529933032,B,10159.0,8.9862,-10.0
4029.6000000000977,27.321847915649414,0.03663754090666771,30.57830047607422,2305843020529933032,B,10159.0,8.9862,-10.0
4030.400000000098,21.028221130371094,0.017041334882378578,30.714221954345703,2305843020529933032,B,10159.0,8.9862,-10.0
4031.200000000098,32.61761474609375,0.021869108080863953,30.539438247680664,2305843020529933032,B,10159.0,8.9862,-10.0
4032.000000000098,23.731765747070312,0.043734047561883926,30.58755874633789,2305843020529933032,B,10159.0,8.9862,-10.0
4032.8000000000984,29.376693725585938,0.047799937427043915,30.43033218383789,2305843020529933032,B,10159.0,8.9862,-10.0
4033.6000000000986,27.8966121673584,0.042746081948280334,29.86121368408203,2305843020529933032,B,10159.0,8.9862,-10.0
4034.4000000000988,23.207792282104492,0.044951874762773514,29.9067440032959,2305843020529933032,B,10159.0,8.9862,-10.0
