wavelength,flux,ivar,model,targetid,clase_aprox,teff,logg,feh
4000.000000000091,8024.56689453125,6.421283615054563e-05,8288.3203125,2305843030978107046,A,7977.4,4.2292,-0.39146
4000.800000000091,8326.4130859375,0.00015278863429557532,8551.611328125,2305843030978107046,A,7977.4,4.2292,-0.39146
4001.6000000000913,9124.123046875,6.259283691179007e-05,8700.9013671875,2305843030978107046,A,7977.4,4.2292,-0.39146
4002.4000000000915,9095.7119140625,0.00011610522778937593,8721.9599609375,2305843030978107046,A,7977.4,4.2292,-0.39146
4003.2000000000917,8846.7958984375,0.00012577950838021934,8508.154296875,2305843030978107046,A,7977.4,4.2292,-0.39146
4004.000000000092,8753.650390625,0.0001323203177889809,8402.7890625,2305843030978107046,A,7977.4,4.2292,-0.39146
4004.800000000092,8399.8955078125,0.00016272786888293922,8555.0009765625,2305843030978107046,A,7977.4,4.2292,-0.39146
4005.600000000092,8352.6357421875,0.0001556830102344975,8553.9892578125,2305843030978107046,A,7977.4,4.2292,-0.39146
4006.4000000000924,8842.0439453125,0.0001428683754056692,8275.5166015625,2305843030978107046,A,7977.4,4.2292,-0.39146
4007.2000000000926,9594.6455078125,5.834690819028765e-05,8323.4970703125,2305843030978107046,A,7977.4,4.2292,-0.39146
4008.0000000000928,9767.6650390625,3.3667514799162745e-05,8630.787109375,2305843030978107046,A,7977.4,4.2292,-0.39146
4008.800000000093,9314.65625,0.00010377024591434747,8846.390625,2305843030978107046,A,7977.4,4.2292,-0.39146
4009.600000000093,8826.564453125,0.00015333108603954315,9000.654296875,2305843030978107046,A,7977.4,4.2292,-0.39146
4010.4000000000933,9362.759765625,0.000123533871374093,8981.486328125,2305843030978107046,A,7977.4,4.2292,-0.39146
4011.2000000000935,9572.1650390625,0.00010108631977345794,8881.013671875,2305843030978107046,A,7977.4,4.2292,-0.39146
4012.0000000000937,9365.4736328125,0.0001050128266797401,8987.62109375,2305843030978107046,A,7977.4,4.2292,-0.39146
4012.800000000094,8882.74609375,0.00015101484314072877,8829.11328125,2305843030978107046,A,7977.4,4.2292,-0.39146
4013.600000000094,8475.5546875,0.00016115611651912332,8507.0087890625,2305843030978107046,A,7977.4,4.2292,-0.39146
4014.400000000094,8792.2412109375,0.00012423192674759775,8754.392578125,2305843030978107046,A,7977.4,4.2292,-0.39146
4015.2000000000944,9275.6015625,9.31325921555981e-05,8840.6455078125,2305843030978107046,A,7977.4,4.2292,-0.39146
4016.0000000000946,9304.3408203125,0.00011283934145467356,8689.4677734375,2305843030978107046,A,7977.4,4.2292,-0.39146
4016.8000000000948,9121.24609375,0.00012349357712082565,8804.0068359375,2305843030978107046,A,7977.4,4.2292,-0.39146
4017.600000000095,9359.134765625,0.00012201926438137889,8956.87890625,2305843030978107046,A,7977.4,4.2292,-0.39146
4018.400000000095,9185.798828125,8.911969780456275e-05,8834.4833984375,2305843030978107046,A,7977.4,4.2292,-0.39146
