wavelength,flux,ivar,model,targetid,clase_aprox,teff,logg,feh
4000.000000000091,14035.8935546875,1.2250636245880742e-05,13460.4814453125,2305843032571786737,A,8209.4,4.6951,-0.86891
4000.800000000091,13433.0576171875,1.7814174498198554e-05,13694.7451171875,2305843032571786737,A,8209.4,4.6951,-0.86891
4001.6000000000913,13833.1923828125,1.5498737411689945e-05,13750.7626953125,2305843032571786737,A,8209.4,4.6951,-0.86891
4002.4000000000915,13984.7958984375,1.2899688954348676e-05,13521.453125,2305843032571786737,A,8209.4,4.6951,-0.86891
4003.2000000000917,13735.5517578125,1.473772954341257e-05,13302.5029296875,2305843032571786737,A,8209.4,4.6951,-0.86891
4004.000000000092,14409.4326171875,1.286413589696167e-05,13433.4794921875,2305843032571786737,A,8209.4,4.6951,-0.86891
4004.800000000092,14817.2392578125,1.1251098840148188e-05,13578.369140625,2305843032571786737,A,8209.4,4.6951,-0.86891
4005.600000000092,14776.62109375,1.1405349141568877e-05,13436.44921875,2305843032571786737,A,8209.4,4.6951,-0.86891
4006.4000000000924,15064.560546875,8.956341844168492e-06,13296.9755859375,2305843032571786737,A,8209.4,4.6951,-0.86891
4007.2000000000926,15545.4677734375,7.817756340955384e-06,13620.7646484375,2305843032571786737,A,8209.4,4.6951,-0.86891
4008.0000000000928,15521.203125,1.0420781109132804e-05,13899.0947265625,2305843032571786737,A,8209.4,4.6951,-0.86891
4008.800000000093,14785.1708984375,1.1285668733762577e-05,14054.1904296875,2305843032571786737,A,8209.4,4.6951,-0.86891
4009.600000000093,14197.53515625,1.644951043999754e-05,14080.8056640625,2305843032571786737,A,8209.4,4.6951,-0.86891
4010.4000000000933,15149.88671875,1.0431848750158679e-05,14001.435546875,2305843032571786737,A,8209.4,4.6951,-0.86891
4011.2000000000935,14861.6025390625,1.083742426999379e-05,14089.7744140625,2305843032571786737,A,8209.4,4.6951,-0.86891
4012.0000000000937,13384.466796875,1.990428427234292e-05,14001.7041015625,2305843032571786737,A,8209.4,4.6951,-0.86891
4012.800000000094,13606.583984375,1.626996527193114e-05,13679.1015625,2305843032571786737,A,8209.4,4.6951,-0.86891
4013.600000000094,14016.080078125,1.2943104593432508e-05,13698.6123046875,2305843032571786737,A,8209.4,4.6951,-0.86891
4014.400000000094,14328.443359375,1.5210127457976341e-05,13872.3291015625,2305843032571786737,A,8209.4,4.6951,-0.86891
4015.2000000000944,15575.8408203125,9.803715329326224e-06,13793.0234375,2305843032571786737,A,8209.4,4.6951,-0.86891
4016.0000000000946,15144.3984375,9.934117770171724e-06,13894.7119140625,2305843032571786737,A,8209.4,4.6951,-0.86891
4016.8000000000948,14098.8857421875,1.7699347154120915e-05,14049.2255859375,2305843032571786737,A,8209.4,4.6951,-0.86891
4017.600000000095,14860.171875,1.3067005056655034e-05,13999.529296875,2305843032571786737,A,8209.4,4.6951,-0.86891
4018.400000000095,15415.375,8.835704647935927e-06,13947.3193359375,2305843032571786737,A,8209.4,4.6951,-0.86891
4019.2000000000953,14039.6923828125,1.4856997040624265e-05,14030.08984375,2305843032571786737,A,8209.4,4.6951,-0.86891
4020.0000000000955,14910.5185546875,1.4125414963928051e-05,14232.9619140625,2305843032571786737,A,8209.4,4.6951,-0.86891
4020.8000000000957,14958.896484375,1.4112622011452913e-05,14292.759765625,2305843032571786737,A,8209.4,4.6951,-0.86891
4021.600000000096,15058.2294921875,1.2314756531850435e-05,14173.3251953125,2305843032571786737,A,8209.4,4.6951,-0.86891
4022.400000000096,14308.55078125,1.5113051631487906e-05,13995.74609375,2305843032571786737,A,8209.4,4.6951,-0.86891
4023.200000000096,15223.703125,1.1394800822017714e-05,13988.3017578125,2305843032571786737,A,8209.4,4.6951,-0.86891
4024.0000000000964,14165.169921875,1.6664429494994693e-05,13941.6787109375,2305843032571786737,A,8209.4,4.6951,-0.86891
4024.8000000000966,13482.671875,2.0629760911106132e-05,13748.5771484375,2305843032571786737,A,8209.4,4.6951,-0.86891
4025.6000000000968,14489.5068359375,1.2589667676365934e-05,13514.5361328125,2305843032571786737,A,8209.4,4.6951,-0.86891
4026.400000000097,14091.9853515625,1.4508214007946663e-05,13836.3828125,2305843032571786737,A,8209.4,4.6951,-0.86891
4027.200000000097,15969.6064453125,9.809994480747264e-06,14172.8076171875,2305843032571786737,A,8209.4,4.6951,-0.86891
4028.0000000000973,15080.041015625,1.2511030945461243e-05,14162.69140625,2305843032571786737,A,8209.4,4.6951,-0.86891
4028.8000000000975,14303.77734375,1.5165311197051778e-05,13919.16796875,2305843032571786737,A,8209.4,4.6951,-0.86891
4029.6000000000977,13793.7158203125,1.7694555936031975e-05,13832.1845703125,2305843032571786737,A,8209.4,4.6951,-0.86891
4030.400000000098,14380.0791015625,1.6963098460109904e-05,13723.8291015625,2305843032571786737,A,8209.4,4.6951,-0.86891
4031.200000000098,15085.74609375,1.203712872666074e-05,13489.4306640625,2305843032571786737,A,8209.4,4.6951,-0.86891
4032.000000000098,15091.4736328125,9.862325896392576e-06,13534.6640625,2305843032571786737,A,8209.4,4.6951,-0.86891
4032.8000000000984,13495.4423828125,2.072612551273778e-05,13581.9345703125,2305843032571786737,A,8209.4,4.6951,-0.86891
4033.6000000000986,13906.6640625,1.892608452180866e-05,13500.0458984375,2305843032571786737,A,8209.4,4.6951,-0.86891
4034.4000000000988,15323.064453125,1.0074455531139392e-05,13716.5615234375,2305843032571786737,A,8209.4,4.6951,-0.86891
4035.200000000099,14935.7197265625,1.4697990991408005e-05,13827.7578125,2305843032571786737,A,8209.4,4.6951,-0.86891
4036.000000000099,14153.5849609375,1.6094376405817457e-05,13890.921875,2305843032571786737,A,8209.4,4.6951,-0.86891
4036.8000000000993,15021.416015625,1.3991884770803154e-05,13957.400390625,2305843032571786737,A,8209.4,4.6951,-0.86891
